time,acc,f1
6.907071352005005,0.11,0.11
12.098400831222534,0.118,0.118
16.25817060470581,0.118,0.118
20.22917628288269,0.19,0.19
21.272796154022217,0.172,0.172
24.225112676620483,0.188,0.188
32.78924345970154,0.198,0.198
41.55223894119263,0.202,0.202
47.71226477622986,0.214,0.214
50.44400095939636,0.218,0.218
59.38139367103577,0.232,0.232
60.62597584724426,0.23,0.23
68.33499193191528,0.242,0.242
70.31713676452637,0.26,0.26
76.73526787757874,0.258,0.258
85.45448422431946,0.242,0.242
87.1596610546112,0.244,0.244
94.82542872428894,0.246,0.246
100.27496600151062,0.266,0.266
104.44265818595886,0.272,0.272
112.78823924064636,0.278,0.278
124.5428991317749,0.278,0.278
125.16709733009338,0.3,0.3
125.5359218120575,0.31,0.31
130.16301679611206,0.308,0.308
138.71101117134094,0.308,0.308
142.31509137153625,0.304,0.304
147.31702947616577,0.312,0.312
156.84800958633423,0.312,0.312
157.93374919891357,0.318,0.318
164.58300971984863,0.312,0.312
171.50087761878967,0.324,0.324
173.77577543258667,0.326,0.326
182.2402036190033,0.328,0.328
185.70032572746277,0.342,0.342
191.56548619270325,0.346,0.346
193.81017541885376,0.33,0.33
199.4255383014679,0.332,0.332
208.64734745025635,0.334,0.334
217.4731740951538,0.334,0.334
220.68731904029846,0.34,0.34
229.08694291114807,0.33,0.33
230.28303933143616,0.338,0.338
231.41904139518738,0.334,0.334
235.0967242717743,0.338,0.338
244.74198722839355,0.33,0.33
252.3272886276245,0.328,0.328
261.15592551231384,0.326,0.326
265.3360698223114,0.328,0.328
