time,acc,f1
19.638078927993774,0.154,0.154
26.701921701431274,0.194,0.194
30.588666439056396,0.226,0.226
33.43617558479309,0.242,0.242
39.77277898788452,0.25,0.25
46.82522916793823,0.302,0.302
53.607795000076294,0.296,0.296
59.34636974334717,0.314,0.314
61.66790199279785,0.316,0.316
67.44357562065125,0.346,0.346
70.56498551368713,0.336,0.336
75.2694160938263,0.37,0.37
78.56568932533264,0.366,0.366
81.73686242103577,0.374,0.374
85.37603187561035,0.362,0.362
89.32685375213623,0.37,0.37
92.63703870773315,0.388,0.388
98.59158873558044,0.398,0.398
103.98148727416992,0.386,0.386
110.4768226146698,0.394,0.394
117.02814412117004,0.422,0.422
123.71360898017883,0.394,0.394
130.70245051383972,0.42,0.41999999999999993
