time,acc,f1
8.17138934135437,0.122,0.122
13.537728071212769,0.154,0.154
19.34577703475952,0.252,0.252
24.070207834243774,0.276,0.276
28.352803707122803,0.308,0.308
33.57956552505493,0.24,0.24
37.77822518348694,0.304,0.304
39.17288041114807,0.324,0.324
43.96690821647644,0.296,0.296
46.81704497337341,0.342,0.342
49.24672055244446,0.33,0.33
54.699957609176636,0.34,0.34
56.37874507904053,0.326,0.326
60.004334449768066,0.394,0.394
64.74700570106506,0.37,0.37
67.16557049751282,0.348,0.348
70.09267854690552,0.404,0.404
75.69701051712036,0.384,0.384
77.22370624542236,0.394,0.394
79.85489225387573,0.39,0.39
84.15768504142761,0.41,0.41
86.91390037536621,0.432,0.432
