time,acc,f1
22.077600479125977,0.1336,0.1336
29.229737281799316,0.1322,0.1322
37.26327204704285,0.1704,0.1704
44.71124076843262,0.194,0.194
51.85467267036438,0.2262,0.2262
59.1242413520813,0.2496,0.2496
67.34202647209167,0.2686,0.2686
74.55382442474365,0.273,0.273
82.34196829795837,0.2846,0.2846
90.5862307548523,0.2988,0.2988
98.37691402435303,0.3166,0.3166
106.4489278793335,0.3142,0.3142
114.3915011882782,0.3228,0.3228
122.10623121261597,0.3252,0.3252
129.84930562973022,0.3336,0.3336
137.82826280593872,0.3316,0.3316
145.5827877521515,0.3514,0.3514
153.55589532852173,0.3572,0.3572
161.2020025253296,0.3604,0.3604
169.09993815422058,0.364,0.364
176.77020525932312,0.3812,0.3812
185.20504999160767,0.3796,0.3796
193.77496576309204,0.387,0.387
201.43026089668274,0.388,0.388
209.28456592559814,0.4044,0.4044
