time,acc,f1
147.55756068229675,0.3389,0.3389
252.8501579761505,0.4116,0.4116
372.2345128059387,0.4522,0.4522
480.65200686454773,0.4893,0.4893
578.9424464702606,0.487,0.487
681.4333229064941,0.5207,0.5207
781.6035425662994,0.5025,0.5025
879.5109605789185,0.5652,0.5652
980.8301570415497,0.5652,0.5652
1091.9642689228058,0.585,0.585
1199.3664169311523,0.5823,0.5823
1303.9311594963074,0.5971,0.5971
1408.8350327014923,0.6015,0.6015
1508.5851655006409,0.6169,0.6169
1615.4739139080048,0.6094,0.6094
1715.7132260799408,0.6137,0.6137
1824.5154211521149,0.6236,0.6236
1926.7290337085724,0.6042,0.6042
2035.1003684997559,0.6164,0.6164
2136.345849752426,0.6334,0.6334
2238.4962105751038,0.6317,0.6317
2338.390880584717,0.6223,0.6223
2446.3129992485046,0.6332,0.6332
2547.1579394340515,0.6397,0.6397
2655.070436000824,0.643,0.643
2763.877276659012,0.6439,0.6439
2880.8367590904236,0.6498,0.6498
